"氏名（必須）","性別（必須）","生年月日（必須）","社員ID","部署","入社日（必須）","在籍状態","稼働状態（必須）","稼働先","退職日（必須）","退職理由","備考"
"佐々木莉音","女性","1995/01/01","200000001","","2020/11/30","退職","派遣","-","2022/02/01","家庭問題",""
"川嶌貫太","男性","1995/01/01","200000002","","2020/10/26","退職","派遣","株式会社ヒト・コミュニケーションズ","2022/02/01","ITモチベ低下",""
"和賀結","女性","1996/01/01","210000003","","2021/01/04","退職","派遣","-","2022/02/01","家庭問題",""
"福地和樹","男性","1996/01/01","210000004","","2021/02/01","退職","開発","株式会社cuatro pistas","2022/02/01","同業他社転職",""
"小松正佳","男性","1995/01/01","200000005","","2020/03/27","退職","開発","-","2022/02/01","同業他社転職",""
"愛甲知央","男性","1996/01/01","210000006","","2021/02/05","退職","開発","株式会社アイグルーヴ","2022/02/01","同業他社転職",""
"森祐哉","男性","1997/01/01","220000007","","2022/01/10","退職","派遣","株式会社マニフェスト","2022/02/01","稼働問題",""
"浅野雄司","男性","1995/01/01","200000008","","2020/08/03","退職","開発","ハイミン・エンタープライズ株式会社","2022/03/01","同業他社転職",""
"遠藤優太","男性","1995/01/01","200000009","","2020/02/14","退職","開発","株式会社S.E.C","2022/03/01","同業他社転職",""
"小野山雄大","男性","1995/01/01","200000010","","2020/05/12","退職","開発","株式会社ボールド","2022/03/01","同業他社転職",""
"鈴木優太朗","男性","1995/01/01","200000011","","2020/03/30","退職","開発","株式会社ボールド","2022/03/01","同業他社転職",""
"押見洋介","男性","1994/01/01","190000012","","2019/11/26","退職","開発","株式会社ブレーンネット","2022/03/01","ITモチベ低下",""
"松木舞","女性","1996/01/01","210000013","","2021/11/01","退職","開発","株式会社エイティーエックス","2022/03/01","同業他社転職",""
"小山尚朗","男性","1996/01/01","210000014","","2021/01/25","退職","派遣","株式会社ヒト・コミュニケーションズ","2022/03/01","ITモチベ低下",""
"小澤将斗","男性","1995/01/01","200000015","","2020/03/27","退職","開発","株式会社ブレーンネット","2022/03/01","家庭問題",""
"根本拓真","男性","1996/01/01","210000016","","2021/10/01","退職","派遣","株式会社ブレーンネット","2022/03/01","ITモチベ低下",""
"荒舩温","男性","1995/01/01","200000017","","2020/09/21","退職","派遣","株式会社ブレーンネット","2022/03/01","ITモチベ低下",""
"池上光里","女性","1995/01/01","200000018","","2020/07/09","退職","開発","株式会社ブレーンネット","2022/04/01","会社不信",""
